Stkcd,Date,Clpr,DRfRet
"600006",2005-07-15,"2.5500","0.000031"
"600006",2005-07-18,"2.4900","0.000031"
"600006",2005-07-19,"2.5300","0.000031"
"600006",2005-07-20,"2.5300","0.000031"
"600006",2005-07-21,"2.5600","0.000031"
"600006",2005-07-22,"2.6000","0.000031"
"600006",2005-07-25,"2.6700","0.000031"
"600006",2005-07-26,"2.6700","0.000031"
"600006",2005-07-27,"2.7300","0.000031"
"600006",2005-07-28,"2.6600","0.000030"
"600006",2005-07-29,"2.6500","0.000030"
"600006",2005-08-01,"2.6600","0.000030"
"600006",2005-08-02,"2.7200","0.000030"
"600006",2005-08-03,"2.7700","0.000030"
"600006",2005-08-04,"2.7300","0.000030"
"600006",2005-08-05,"2.7800","0.000030"
"600006",2005-08-08,"2.8200","0.000030"
"600006",2005-08-09,"2.8000","0.000030"
"600006",2005-08-10,"2.8100","0.000030"
"600006",2005-08-11,"2.8200","0.000030"
"600006",2005-08-12,"2.7800","0.000030"
"600006",2005-08-15,"2.8200","0.000030"
"600006",2005-08-16,"2.7600","0.000030"
"600006",2005-08-17,"2.8400","0.000030"
"600006",2005-08-18,"2.7900","0.000029"
"600006",2005-08-19,"2.7500","0.000029"
"600006",2005-08-22,"2.7400","0.000029"
"600006",2005-08-23,"2.8200","0.000029"
"600006",2005-08-24,"2.8600","0.000029"
"600006",2005-08-25,"2.8500","0.000030"
"600006",2005-08-26,"2.8800","0.000030"
"600006",2005-08-29,"2.8100","0.000030"
"600006",2005-08-30,"2.8400","0.000030"
"600006",2005-08-31,"2.8500","0.000030"
"600006",2005-09-01,"2.9200","0.000030"
"600006",2005-09-02,"3.0200","0.000030"
"600006",2005-09-05,"2.9800","0.000030"
"600006",2005-09-06,"2.8700","0.000030"
"600006",2005-09-07,"3.0200","0.000030"
"600006",2005-09-08,"3.0000","0.000030"
"600006",2005-09-09,"2.9700","0.000030"
"600006",2005-09-12,"3.0300","0.000030"
"600006",2005-09-13,"3.1100","0.000030"
"600006",2005-09-14,"3.2800","0.000030"
"600006",2005-09-15,"3.2500","0.000031"
"600006",2005-09-16,"3.3000","0.000031"
"600006",2005-09-19,"3.3100","0.000031"
"600006",2005-09-20,"3.2500","0.000031"
"600006",2005-09-21,"3.1500","0.000031"
"600006",2005-09-22,"3.0600","0.000032"
"600006",2005-09-23,"3.0400","0.000032"
"600006",2005-09-26,"3.0100","0.000032"
"600006",2005-09-27,"2.9400","0.000032"
"600006",2005-09-28,"2.9300","0.000032"
"600006",2005-09-29,"3.0100","0.000032"
"600006",2005-09-30,"3.0400","0.000032"
"600006",2005-10-10,"2.9600","0.000032"
"600006",2005-10-11,"3.0000","0.000032"
"600006",2005-10-12,"2.9100","0.000032"
"600006",2005-10-13,"2.8900","0.000032"
"600006",2005-10-14,"2.7300","0.000032"
"600006",2005-10-17,"2.6800","0.000032"
"600006",2005-10-18,"2.7200","0.000032"
"600006",2005-10-19,"2.6700","0.000032"
"600006",2005-10-20,"2.6800","0.000032"
"600006",2005-10-21,"2.7100","0.000032"
"600006",2005-10-24,"2.7500","0.000032"
"600006",2005-10-25,"2.6900","0.000032"
"600006",2005-10-26,"2.6200","0.000032"
"600006",2005-10-27,"2.6500","0.000032"
"600006",2005-10-28,"2.6300","0.000032"
"600006",2005-10-29,,
"600006",2005-10-31,"2.6200","0.000032"
"600006",2005-11-01,"2.6800","0.000032"
"600006",2005-11-02,"2.7000","0.000032"
"600006",2005-11-03,"2.6200","0.000034"
"600006",2005-11-04,"2.6500","0.000034"
"600006",2005-11-07,"2.6300","0.000034"
"600006",2005-11-08,"2.6800","0.000034"
"600006",2005-11-09,"2.6600","0.000034"
"600006",2005-11-10,"2.5900","0.000037"
"600006",2005-11-11,"2.6300","0.000037"
