TrdDt,IdxDRet
2005-01-04,"-0.0187"
2005-01-05,"0.0074"
2005-01-06,"-0.0100"
2005-01-07,"0.0043"
2005-01-10,"0.0061"
2005-01-11,"0.0040"
2005-01-12,"-0.0004"
2005-01-13,"-0.0005"
2005-01-14,"-0.0085"
2005-01-17,"-0.0233"
2005-01-18,"0.0072"
2005-01-19,"-0.0060"
2005-01-20,"-0.0113"
2005-01-21,"0.0250"
2005-01-24,"0.0173"
2005-01-25,"-0.0012"
2005-01-26,"-0.0098"
2005-01-27,"-0.0129"
2005-01-28,"-0.0100"
2005-01-31,"-0.0180"
2005-02-01,"-0.0024"
2005-02-02,"0.0535"
2005-02-03,"-0.0081"
2005-02-04,"0.0215"
2005-02-16,"0.0078"
2005-02-17,"-0.0021"
2005-02-18,"-0.0135"
2005-02-21,"0.0203"
2005-02-22,"0.0193"
2005-02-23,"0.0002"
2005-02-24,"0.0004"
2005-02-25,"0.0019"
2005-02-28,"-0.0049"
2005-03-01,"-0.0020"
2005-03-02,"-0.0122"
2005-03-03,"0.0054"
2005-03-04,"-0.0051"
2005-03-07,"0.0047"
2005-03-08,"0.0190"
2005-03-09,"-0.0011"
2005-03-10,"-0.0232"
2005-03-11,"0.0029"
2005-03-14,"0.0028"
2005-03-15,"-0.0188"
2005-03-16,"-0.0107"
2005-03-17,"-0.0096"
2005-03-18,"-0.0129"
2005-03-21,"0.0030"
2005-03-22,"-0.0196"
2005-03-23,"-0.0044"
2005-03-24,"0.0054"
2005-03-25,"-0.0021"
2005-03-28,"-0.0046"
2005-03-29,"-0.0042"
2005-03-30,"-0.0188"
2005-03-31,"0.0074"
2005-04-01,"0.0358"
2005-04-04,"-0.0168"
2005-04-05,"-0.0093"
2005-04-06,"0.0194"
2005-04-07,"0.0087"
2005-04-08,"0.0188"
2005-04-11,"-0.0060"
2005-04-12,"-0.0173"
2005-04-13,"0.0235"
2005-04-14,"-0.0111"
2005-04-15,"-0.0141"
2005-04-18,"-0.0158"
2005-04-19,"0.0018"
2005-04-20,"-0.0131"
2005-04-21,"-0.0098"
2005-04-22,"-0.0029"
2005-04-25,"-0.0096"
2005-04-26,"0.0064"
2005-04-27,"-0.0142"
2005-04-28,"0.0177"
2005-04-29,"-0.0085"
2005-05-09,"-0.0244"
2005-05-10,"0.0042"
2005-05-11,"-0.0099"
2005-05-12,"-0.0180"
2005-05-13,"0.0033"
2005-05-16,"-0.0110"
2005-05-17,"0.0038"
2005-05-18,"0.0030"
2005-05-19,"0.0005"
2005-05-20,"-0.0038"
2005-05-23,"-0.0259"
2005-05-24,"0.0028"
2005-05-25,"-0.0016"
2005-05-26,"-0.0124"
2005-05-27,"-0.0065"
2005-05-30,"0.0078"
2005-05-31,"0.0005"
2005-06-01,"-0.0203"
2005-06-02,"-0.0223"
2005-06-03,"-0.0024"
2005-06-06,"0.0205"
2005-06-07,"-0.0033"
2005-06-08,"0.0821"
2005-06-09,"0.0139"
2005-06-10,"-0.0201"
2005-06-13,"-0.0018"
2005-06-14,"-0.0116"
2005-06-15,"-0.0189"
2005-06-16,"0.0123"
2005-06-17,"-0.0004"
2005-06-20,"0.0276"
2005-06-21,"-0.0127"
2005-06-22,"0.0005"
2005-06-23,"-0.0076"
2005-06-24,"0.0075"
2005-06-27,"0.0207"
2005-06-28,"-0.0143"
2005-06-29,"-0.0032"
2005-06-30,"-0.0218"
2005-07-01,"-0.0234"
2005-07-04,"-0.0079"
2005-07-05,"-0.0079"
2005-07-06,"-0.0053"
2005-07-07,"0.0049"
2005-07-08,"-0.0198"
2005-07-11,"-0.0064"
2005-07-12,"0.0343"
2005-07-13,"-0.0084"
2005-07-14,"0.0029"
2005-07-15,"-0.0137"
2005-07-18,"-0.0137"
2005-07-19,"0.0022"
2005-07-20,"0.0066"
2005-07-21,"-0.0004"
2005-07-22,"0.0252"
2005-07-25,"-0.0009"
2005-07-26,"0.0262"
2005-07-27,"0.0159"
2005-07-28,"-0.0031"
2005-07-29,"-0.0032"
2005-08-01,"0.0055"
2005-08-02,"0.0139"
2005-08-03,"0.0033"
2005-08-04,"-0.0046"
2005-08-05,"0.0237"
2005-08-08,"0.0090"
2005-08-09,"0.0120"
2005-08-10,"0.0108"
2005-08-11,"0.0159"
2005-08-12,"-0.0132"
2005-08-15,"0.0163"
2005-08-16,"-0.0082"
2005-08-17,"0.0132"
2005-08-18,"-0.0376"
2005-08-19,"0.0019"
2005-08-22,"0.0073"
2005-08-23,"-0.0075"
2005-08-24,"0.0149"
2005-08-25,"0.0046"
2005-08-26,"-0.0005"
2005-08-29,"-0.0149"
2005-08-30,"-0.0070"
2005-08-31,"0.0143"
2005-09-01,"0.0190"
2005-09-02,"0.0033"
2005-09-05,"0.0062"
2005-09-06,"-0.0191"
2005-09-07,"0.0179"
2005-09-08,"0.0001"
2005-09-09,"-0.0040"
2005-09-12,"-0.0012"
2005-09-13,"0.0160"
2005-09-14,"0.0084"
2005-09-15,"0.0000"
2005-09-16,"-0.0036"
2005-09-19,"0.0063"
2005-09-20,"-0.0066"
2005-09-21,"-0.0203"
2005-09-22,"-0.0236"
2005-09-23,"-0.0069"
2005-09-26,"0.0027"
2005-09-27,"-0.0189"
2005-09-28,"-0.0013"
2005-09-29,"0.0210"
2005-09-30,"0.0001"
2005-10-10,"-0.0144"
2005-10-11,"0.0160"
2005-10-12,"0.0040"
2005-10-13,"-0.0080"
2005-10-14,"-0.0113"
2005-10-17,"-0.0072"
2005-10-18,"0.0087"
2005-10-19,"-0.0058"
2005-10-20,"0.0012"
2005-10-21,"0.0047"
2005-10-24,"-0.0001"
2005-10-25,"-0.0169"
2005-10-26,"-0.0221"
2005-10-27,"0.0006"
2005-10-28,"-0.0154"
2005-10-31,"0.0111"
2005-11-01,"-0.0026"
2005-11-02,"0.0136"
2005-11-03,"-0.0086"
2005-11-04,"0.0044"
2005-11-07,"0.0005"
2005-11-08,"0.0086"
2005-11-09,"-0.0018"
2005-11-10,"-0.0179"
2005-11-11,"0.0017"
2005-11-14,"-0.0014"
2005-11-15,"-0.0011"
2005-11-16,"0.0077"
2005-11-17,"-0.0005"
2005-11-18,"0.0198"
2005-11-21,"0.0026"
2005-11-22,"-0.0190"
2005-11-23,"0.0065"
2005-11-24,"0.0069"
2005-11-25,"0.0014"
2005-11-28,"-0.0037"
2005-11-29,"-0.0125"
2005-11-30,"0.0021"
2005-12-01,"-0.0005"
2005-12-02,"-0.0041"
2005-12-05,"-0.0138"
2005-12-06,"0.0080"
2005-12-07,"0.0109"
2005-12-08,"-0.0012"
2005-12-09,"0.0138"
2005-12-12,"0.0026"
2005-12-13,"0.0013"
2005-12-14,"0.0067"
2005-12-15,"-0.0016"
2005-12-16,"0.0035"
2005-12-19,"0.0038"
2005-12-20,"0.0041"
2005-12-21,"-0.0049"
2005-12-22,"0.0040"
2005-12-23,"0.0085"
2005-12-26,"0.0104"
2005-12-27,"-0.0022"
2005-12-28,"0.0024"
2005-12-29,"0.0111"
2005-12-30,"-0.0075"
2006-01-04,"0.0171"
2006-01-05,"0.0138"
2006-01-06,"0.0102"
2006-01-09,"0.0052"
2006-01-10,"0.0041"
2006-01-11,"-0.0078"
2006-01-12,"0.0129"
2006-01-13,"-0.0043"
2006-01-16,"-0.0152"
2006-01-17,"0.0046"
2006-01-18,"0.0206"
2006-01-19,"0.0148"
2006-01-20,"0.0030"
2006-01-23,"0.0004"
2006-01-24,"-0.0030"
2006-01-25,"0.0048"
2006-02-06,"0.0235"
2006-02-07,"-0.0043"
2006-02-08,"0.0062"
2006-02-09,"-0.0160"
2006-02-10,"0.0104"
2006-02-13,"-0.0024"
2006-02-14,"0.0052"
2006-02-15,"0.0100"
2006-02-16,"-0.0220"
