Stkcd,Date,ClPr,Monrfret
"600006",2000-01-28,"4.7300","0.001650"
"600006",2000-02-29,"5.1400","0.001650"
"600006",2000-03-31,"5.5200","0.001650"
"600006",2000-04-28,"5.6900","0.001650"
"600006",2000-05-31,"5.8500","0.001650"
"600006",2000-06-30,"6.1200","0.001650"
"600006",2000-07-31,"7.1800","0.001650"
"600006",2000-08-31,"7.2000","0.001650"
"600006",2000-09-29,"6.3900","0.001650"
"600006",2000-10-31,"6.3600","0.001650"
"600006",2000-11-30,"7.5600","0.001650"
"600006",2000-12-29,"7.5300","0.001650"
"600006",2001-01-19,"8.4800","0.001650"
"600006",2001-02-28,"8.9500","0.001650"
"600006",2001-03-30,"9.1200","0.001650"
"600006",2001-04-30,"9.4400","0.001650"
"600006",2001-05-31,"10.0900","0.001650"
"600006",2001-06-29,"10.4200","0.001650"
"600006",2001-07-31,"9.6500","0.001650"
"600006",2001-08-31,"10.0200","0.001650"
"600006",2001-09-27,"10.0600","0.001650"
"600006",2001-10-31,"9.7400","0.001650"
"600006",2001-11-30,"10.3000","0.001650"
"600006",2001-12-31,"11.0100","0.001650"
"600006",2002-01-31,"10.6600","0.001650"
"600006",2002-02-28,"11.4900","0.001586"
"600006",2002-03-29,"12.2100","0.001425"
"600006",2002-04-30,"12.5200","0.001425"
"600006",2002-05-31,"12.6500","0.001425"
"600006",2002-06-28,"12.8400","0.001425"
"600006",2002-07-31,"13.0900","0.001425"
"600006",2002-08-30,"12.7500","0.001656"
"600006",2002-09-27,"13.0200","0.001852"
"600006",2002-10-31,"13.0500","0.001892"
"600006",2002-11-29,"13.1100","0.001892"
"600006",2002-12-31,"15.1000","0.001892"
"600006",2003-01-29,"14.0000","0.001892"
"600006",2003-02-28,"13.7800","0.001892"
"600006",2003-03-31,"13.5400","0.001892"
"600006",2003-04-30,"13.2600","0.001886"
"600006",2003-05-30,"13.3400","0.001823"
"600006",2003-06-30,"12.7600","0.001891"
"600006",2003-07-31,"12.9900","0.001945"
"600006",2003-08-29,"11.5000","0.001964"
"600006",2003-09-30,"11.0200","0.002225"
"600006",2003-10-31,"10.7900","0.002246"
"600006",2003-11-28,"11.2300","0.002251"
"600006",2003-12-31,"12.3900","0.002046"
"600006",2004-01-30,"12.2700","0.002046"
"600006",2004-02-27,"11.2800","0.001888"
"600006",2004-03-31,"12.9500","0.001682"
"600006",2004-04-30,"11.1900","0.001776"
"600006",2004-05-31,"10.2200","0.002020"
"600006",2004-06-30,"4.7300","0.002354"
"600006",2004-07-30,"4.4900","0.002402"
"600006",2004-08-31,"4.4900","0.002377"
"600006",2004-09-30,"4.8000","0.002008"
"600006",2004-10-28,"4.1600","0.002090"
"600006",2004-11-30,"3.8200","0.002086"
"600006",2004-12-31,"3.3500","0.002035"
"600006",2005-01-31,"3.1000","0.002085"
"600006",2005-02-25,"3.3900","0.001960"
"600006",2005-03-31,"2.6900","0.001454"
"600006",2005-04-29,"2.8500","0.000954"
"600006",2005-05-31,"2.9400","0.000967"
"600006",2005-06-30,"2.7300","0.000940"
"600006",2005-07-29,"2.6500","0.000952"
