Stkcd,Date,ClPr
"600635",2023-05-31,"3.3000"
"600635",2023-06-30,"3.3200"
"600635",2023-07-31,"3.5400"
"600635",2023-08-31,"3.2700"
"600635",2023-09-28,"3.2700"
"600635",2023-10-31,"3.0600"
"600635",2023-11-30,"3.0900"
"600635",2023-12-29,"3.0200"
"600635",2024-01-31,"2.8500"
"600635",2024-02-29,"2.9300"
"600635",2024-03-29,"2.9000"
"600635",2024-04-30,"2.9100"
"600635",2024-05-31,"2.8800"
"600635",2024-06-28,"2.6800"
"600635",2024-07-31,"3.8900"
"600635",2024-08-30,"3.0100"
"600635",2024-09-30,"3.6100"
"600635",2024-10-31,"5.3100"
"600635",2024-11-29,"4.2100"
"600635",2024-12-31,"4.4500"
"600635",2025-01-27,"3.7200"
"600635",2025-02-28,"4.0100"
"600635",2025-03-31,"3.7700"
"600635",2025-04-30,"3.6800"
"600635",2025-05-30,"3.8500"
"600635",2025-06-30,"3.9000"
"600635",2025-07-31,"4.1200"
"600635",2025-08-29,"4.1600"
"600635",2025-09-30,"5.8700"
"600635",2025-10-31,"7.4700"
"600635",2025-11-28,"8.2300"
"600635",2025-12-31,"6.5400"
"600636",2000-01-28,"12.4500"
"600636",2000-02-29,"13.0200"
"600636",2000-03-31,"13.7000"
"600636",2000-04-28,"15.0400"
"600636",2000-05-31,"15.8000"
"600636",2000-06-30,"14.3500"
"600636",2000-07-31,"15.2000"
"600636",2000-08-31,"15.7000"
"600636",2000-09-29,"14.6400"
"600636",2000-10-31,"15.4200"
"600636",2000-11-30,"16.8000"
"600636",2000-12-29,"17.6700"
"600636",2001-01-19,"17.3600"
"600636",2001-02-28,"16.7000"
"600636",2001-03-30,"17.5200"
"600636",2001-04-30,"18.0500"
"600636",2001-05-31,"18.9900"
"600636",2001-06-29,"21.0500"
"600636",2001-07-31,"18.5000"
"600636",2001-08-31,"19.5800"
"600636",2001-09-28,"18.9900"
"600636",2001-10-31,"19.5000"
"600636",2001-11-30,"18.9000"
"600636",2001-12-31,"18.4800"
"600636",2002-01-31,"15.3100"
"600636",2002-02-28,"16.0000"
"600636",2002-03-29,"16.0000"
"600636",2002-04-30,"16.9800"
"600636",2002-05-31,"13.5900"
"600636",2002-06-28,"14.1500"
"600636",2002-07-31,"14.2200"
"600636",2002-08-30,"14.7500"
"600636",2002-09-27,"14.2700"
"600636",2002-10-31,"13.5700"
"600636",2002-11-29,"11.5600"
"600636",2002-12-31,"10.8700"
"600636",2003-01-29,"11.0100"
"600636",2003-02-28,"10.9600"
"600636",2003-03-31,"10.8400"
"600636",2003-04-30,"10.5200"
"600636",2003-05-30,"10.4300"
"600636",2003-06-30,"9.7200"
"600636",2003-07-31,"9.9800"
"600636",2003-08-29,"9.2200"
"600636",2003-09-30,"8.0500"
"600636",2003-10-31,"7.6000"
"600636",2003-11-28,"8.1000"
"600636",2003-12-31,"7.9000"
"600636",2004-01-30,"8.6600"
"600636",2004-02-27,"8.9200"
"600636",2004-03-31,"9.3800"
"600636",2004-04-30,"6.5500"
"600636",2004-05-31,"6.2300"
"600636",2004-06-30,"6.5200"
"600636",2004-07-30,"7.1100"
"600636",2004-08-31,"7.2900"
"600636",2004-09-30,"7.4100"
"600636",2004-10-29,"7.6500"
"600636",2004-11-30,"8.0000"
"600636",2004-12-31,"8.1600"
"600636",2005-01-31,"7.4500"
"600636",2005-02-28,"7.8500"
"600636",2005-03-31,"7.2300"
"600636",2005-04-29,"8.6000"
"600636",2005-05-31,"7.4200"
"600636",2005-06-30,"7.9800"
"600636",2005-07-29,"7.6900"
"600636",2005-08-31,"8.4400"
"600636",2005-09-30,"10.6400"
"600636",2005-10-31,"9.9300"
"600636",2005-11-30,"9.7900"
"600636",2005-12-30,"10.2900"
"600636",2006-01-25,"11.7600"
"600636",2006-02-28,"10.3600"
"600636",2006-03-30,"10.3400"
"600636",2006-04-25,"10.4700"
"600636",2006-05-31,"10.0900"
"600636",2006-06-30,"8.1300"
"600636",2006-07-31,"7.2800"
"600636",2006-08-31,"7.2100"
"600636",2006-09-29,"7.9200"
"600636",2006-10-31,"7.3600"
"600636",2006-11-30,"7.5200"
"600636",2006-12-29,"8.2200"
"600636",2007-01-31,"9.8800"
"600636",2007-02-28,"11.4500"
"600636",2007-03-30,"11.3000"
"600636",2007-04-30,"14.1700"
"600636",2007-05-31,"13.2300"
"600636",2007-06-29,"10.7000"
"600636",2007-07-31,"11.6600"
"600636",2007-08-31,"12.0300"
"600636",2007-09-28,"11.6400"
"600636",2007-10-31,"9.5200"
"600636",2007-11-30,"9.1600"
"600636",2007-12-28,"10.5000"
"600636",2008-01-31,"12.2000"
"600636",2008-02-29,"12.8500"
"600636",2008-03-31,"9.5200"
"600636",2008-04-30,"10.1800"
"600636",2008-05-30,"8.5000"
"600636",2008-06-03,"9.3900"
"600636",2008-07-31,"10.2300"
"600636",2008-08-29,"6.8300"
"600636",2008-09-26,"5.7400"
"600636",2008-10-31,"3.4300"
"600636",2008-11-28,"4.0900"
"600636",2008-12-31,"3.7900"
"600636",2009-01-23,"4.9800"
"600636",2009-02-27,"5.4600"
"600636",2009-03-31,"7.5100"
"600636",2009-04-30,"8.1200"
"600636",2009-05-27,"8.3300"
"600636",2009-06-30,"7.6500"
"600636",2009-07-31,"8.1400"
"600636",2009-08-31,"6.1800"
"600636",2009-09-30,"6.9400"
"600636",2009-10-30,"7.7900"
"600636",2009-11-30,"9.5600"
"600636",2009-12-31,"9.6500"
"600636",2010-01-29,"8.8400"
"600636",2010-02-26,"9.6500"
"600636",2010-03-31,"9.9300"
"600636",2010-04-30,"8.4200"
"600636",2010-05-31,"7.3600"
"600636",2010-06-30,"6.9500"
"600636",2010-07-30,"8.3200"
"600636",2010-08-31,"8.6700"
"600636",2010-09-30,"10.3000"
"600636",2010-10-29,"11.1000"
"600636",2010-11-30,"14.5900"
"600636",2010-12-31,"14.6700"
"600636",2011-01-31,"12.7100"
"600636",2011-02-28,"16.6100"
"600636",2011-03-31,"24.6500"
"600636",2011-04-29,"30.4800"
"600636",2011-05-31,"32.8700"
"600636",2011-06-30,"35.5300"
"600636",2011-07-29,"34.5300"
"600636",2011-08-31,"31.1800"
"600636",2011-09-30,"25.5800"
"600636",2011-10-31,"27.1400"
"600636",2011-11-30,"25.0400"
"600636",2011-12-30,"20.4400"
"600636",2012-01-31,"22.5600"
"600636",2012-02-29,"24.5600"
"600636",2012-03-30,"23.7400"
"600636",2012-04-27,"22.7600"
"600636",2012-05-31,"22.3300"
"600636",2012-06-29,"19.3500"
"600636",2012-07-31,"14.1200"
"600636",2012-08-31,"13.5900"
"600636",2012-09-28,"14.1400"
"600636",2012-10-31,"14.1900"
"600636",2012-11-30,"10.7500"
"600636",2012-12-31,"13.2300"
"600636",2013-01-31,"14.9900"
"600636",2013-02-28,"15.0500"
"600636",2013-03-29,"14.7100"
"600636",2013-04-26,"13.0000"
"600636",2013-05-31,"13.3200"
"600636",2013-06-28,"9.9600"
"600636",2013-07-31,"10.2700"
"600636",2013-08-30,"11.9100"
"600636",2013-09-30,"11.6500"
"600636",2013-10-31,"10.8100"
"600636",2013-11-29,"11.5400"
"600636",2013-12-31,"11.3800"
"600636",2014-01-30,"10.6800"
"600636",2014-02-28,"10.7400"
"600636",2014-03-31,"10.8500"
"600636",2014-04-30,"13.5300"
"600636",2014-05-23,"13.1800"
"600636",2014-06-30,"12.6300"
"600636",2014-07-31,"14.3000"
"600636",2014-08-29,"15.0900"
"600636",2014-09-30,"15.9600"
"600636",2014-10-31,"14.5400"
"600636",2014-11-28,"14.8000"
"600636",2014-12-31,"13.5600"
"600636",2015-01-30,"14.2400"
"600636",2015-02-27,"15.5100"
"600636",2015-03-31,"17.1500"
"600636",2015-04-30,"18.9400"
"600636",2015-05-29,"19.4900"
"600636",2015-06-30,"20.2800"
"600636",2015-07-31,"15.3800"
"600636",2015-08-31,"13.1700"
"600636",2015-09-30,"12.8300"
"600636",2015-10-30,"16.0900"
"600636",2015-11-30,"15.7200"
"600636",2015-12-31,"16.6200"
"600636",2016-01-29,"12.4700"
"600636",2016-02-29,"11.0400"
"600636",2016-03-31,"13.7000"
"600636",2016-04-29,"14.2000"
"600636",2016-05-06,"13.8600"
"600636",2016-06-30,"13.8600"
"600636",2016-07-29,"13.8600"
"600636",2016-08-31,"13.8600"
"600636",2016-09-30,"13.8600"
"600636",2016-10-31,"13.8600"
"600636",2016-11-30,"13.8600"
"600636",2016-12-31,"13.8600"
"600636",2017-01-26,"13.8600"
"600636",2017-02-28,"13.8600"
"600636",2017-03-31,"13.8600"
"600636",2017-04-28,"13.8600"
"600636",2017-05-31,"13.8600"
"600636",2017-06-30,"13.8600"
"600636",2017-07-31,"13.8600"
"600636",2017-08-31,"14.4000"
"600636",2017-09-29,"14.3000"
"600636",2017-10-31,"13.6600"
"600636",2017-11-30,"12.9400"
"600636",2017-12-29,"14.8800"
"600636",2018-01-31,"14.5400"
"600636",2018-02-28,"15.2100"
"600636",2018-03-30,"14.3600"
"600636",2018-04-26,"15.8200"
"600636",2018-05-31,"16.0000"
"600636",2018-06-29,"14.8200"
"600636",2018-07-31,"12.9900"
"600636",2018-08-31,"11.4000"
"600636",2018-09-28,"12.2200"
"600636",2018-10-31,"11.2100"
"600636",2018-11-30,"11.4300"
"600636",2018-12-28,"10.7900"
"600636",2019-01-31,"11.8100"
"600636",2019-02-28,"13.8300"
"600636",2019-03-29,"15.8500"
"600636",2019-04-30,"13.5300"
"600636",2019-05-31,"11.2100"
"600636",2019-06-28,"10.9700"
"600636",2019-07-31,"10.3200"
"600636",2019-08-30,"9.5100"
"600636",2019-09-30,"10.1700"
"600636",2019-10-31,"9.8800"
"600636",2019-11-29,"9.4000"
"600636",2019-12-31,"10.1600"
"600636",2020-01-23,"10.5700"
"600636",2020-02-28,"13.6000"
"600636",2020-03-31,"11.2400"
"600636",2020-04-30,"12.3800"
"600636",2020-05-29,"11.5300"
"600636",2020-06-30,"12.3000"
"600636",2020-07-31,"14.3500"
"600636",2020-08-31,"15.9600"
"600636",2020-09-30,"12.3800"
"600636",2020-10-30,"14.5500"
"600636",2020-11-30,"13.4500"
"600636",2020-12-31,"13.4200"
"600636",2021-01-29,"11.6600"
"600636",2021-02-26,"11.5100"
"600636",2021-03-31,"11.0800"
"600636",2021-04-30,"10.3000"
"600636",2021-05-31,"10.6000"
"600636",2021-06-30,"10.1200"
"600636",2021-07-30,"9.7600"
"600636",2021-08-31,"12.3300"
"600636",2021-09-30,"10.7500"
"600636",2021-10-29,"9.9300"
"600636",2021-11-30,"9.8900"
"600636",2021-12-31,"10.7400"
"600636",2022-01-28,"9.2700"
"600636",2022-02-28,"9.0600"
"600636",2022-03-31,"8.0100"
"600636",2022-04-29,"6.5600"
"600636",2022-05-31,"8.5500"
"600636",2022-06-30,"7.3600"
"600636",2022-07-29,"7.3200"
"600636",2022-08-31,"7.5900"
"600636",2022-09-30,"6.5500"
"600636",2022-10-31,"10.7000"
"600636",2022-11-30,"9.5700"
"600636",2022-12-30,"9.4600"
"600636",2023-01-31,"10.6400"
"600636",2023-02-28,"10.4700"
"600636",2023-03-31,"11.2200"
"600636",2023-04-28,"11.9000"
"600636",2023-05-31,"13.8400"
"600636",2023-06-30,"12.2800"
"600636",2023-07-31,"11.5400"
"600636",2023-08-31,"10.5200"
"600636",2023-09-28,"10.2400"
"600636",2023-10-31,"9.4600"
"600636",2023-11-30,"10.3500"
"600636",2023-12-29,"10.5400"
"600636",2024-01-31,"10.8700"
"600636",2024-02-29,"11.9000"
"600636",2024-03-29,"10.9500"
"600636",2024-04-30,"9.5400"
"600636",2024-05-31,"8.6600"
"600636",2024-06-28,"7.5000"
"600636",2024-07-31,"7.9400"
"600636",2024-08-30,"7.5200"
"600636",2024-09-30,"9.2700"
"600636",2024-10-31,"12.4000"
"600636",2024-11-29,"10.8300"
"600636",2024-12-31,"9.2800"
"600636",2025-01-27,"7.3700"
"600636",2025-02-28,"7.7800"
"600636",2025-03-31,"6.9200"
"600637",2000-01-28,"18.9900"
"600637",2000-02-29,"25.3500"
"600637",2000-03-31,"25.9100"
"600637",2000-04-28,"23.6000"
"600637",2000-05-31,"23.5000"
"600637",2000-06-30,"23.6800"
"600637",2000-07-31,"21.8500"
"600637",2000-08-31,"21.7500"
"600637",2000-09-29,"19.9500"
"600637",2000-10-31,"19.4400"
"600637",2000-11-30,"21.7700"
"600637",2000-12-29,"20.2500"
"600637",2001-01-19,"18.5300"
"600637",2001-02-28,"17.7800"
"600637",2001-03-30,"18.9800"
"600637",2001-04-30,"19.9800"
"600637",2001-05-31,"22.2000"
"600637",2001-06-29,"20.7800"
"600637",2001-07-31,"16.2000"
"600637",2001-08-31,"14.9300"
"600637",2001-09-28,"15.7900"
"600637",2001-10-31,"14.4800"
"600637",2001-11-30,"16.3800"
"600637",2001-12-31,"14.5500"
"600637",2002-01-31,"13.7800"
"600637",2002-02-28,"13.6300"
"600637",2002-03-29,"14.0900"
"600637",2002-04-30,"15.0900"
"600637",2002-05-31,"13.2900"
"600637",2002-06-28,"14.8700"
"600637",2002-07-31,"13.1700"
"600637",2002-08-30,"12.8000"
"600637",2002-09-27,"11.5200"
"600637",2002-10-31,"10.8900"
"600637",2002-11-29,"12.4900"
"600637",2002-12-31,"10.8300"
"600637",2003-01-29,"11.5200"
"600637",2003-02-28,"11.6700"
"600637",2003-03-31,"12.6900"
"600637",2003-04-30,"12.0700"
"600637",2003-05-30,"13.1000"
"600637",2003-06-30,"12.1100"
"600637",2003-07-31,"13.0400"
"600637",2003-08-29,"11.9700"
"600637",2003-09-30,"10.7800"
"600637",2003-10-31,"9.7000"
"600637",2003-11-28,"10.0800"
"600637",2003-12-31,"10.3600"
"600637",2004-01-30,"11.8500"
"600637",2004-02-27,"11.4400"
"600637",2004-03-31,"12.1800"
"600637",2004-04-30,"10.6900"
"600637",2004-05-31,"10.9900"
"600637",2004-06-30,"8.8400"
"600637",2004-07-30,"9.1800"
"600637",2004-08-31,"7.7000"
"600637",2004-09-30,"7.3800"
"600637",2004-10-29,"7.5800"
"600637",2004-11-30,"8.3000"
"600637",2004-12-31,"6.9100"
"600637",2005-01-31,"5.8400"
"600637",2005-02-28,"6.7700"
"600637",2005-03-31,"5.7400"
"600637",2005-04-29,"4.8200"
"600637",2005-05-31,"4.7800"
"600637",2005-06-30,"4.3500"
"600637",2005-07-29,"3.8500"
