Stkcd,Date,Monret,MonRfRet
"600182",2012-08-31,"0.1925","0.003031"
"600182",2012-09-28,"-0.0163","0.003047"
"600182",2012-10-31,"-0.0115","0.003083"
"600182",2012-11-30,"-0.1094","0.003140"
"600182",2012-12-31,"0.1835","0.003220"
"600182",2013-01-31,"0.1184","0.003246"
"600182",2013-02-28,"0.0950","0.003240"
"600182",2013-03-29,"0.0279","0.003236"
"600182",2013-04-26,"-0.0029","0.003235"
"600182",2013-05-31,"0.2442","0.003235"
"600182",2013-06-28,"-0.0633","0.004241"
"600182",2013-07-31,"0.0880","0.003972"
"600182",2013-08-30,"0.0070","0.003880"
"600182",2013-09-30,"-0.0185","0.003884"
"600182",2013-10-31,"-0.0456","0.003897"
"600182",2013-11-29,"0.0594","0.003920"
"600182",2013-12-31,"0.0195","0.004417"
"600182",2014-01-30,"-0.0198","0.004654"
"600182",2014-02-28,"0.0475","0.004657"
"600182",2014-03-31,"-0.0022","0.004587"
"600182",2014-04-30,"-0.0089","0.004582"
"600182",2014-05-30,"0.0045","0.004369"
"600182",2014-06-30,"0.0831","0.003998"
"600182",2014-07-31,"0.1092","0.003955"
"600182",2014-08-29,"0.1537","0.003905"
"600182",2014-09-30,"0.0556","0.003849"
"600182",2014-10-31,"-0.0344","0.003758"
"600182",2014-11-28,"-0.0157","0.003559"
"600182",2014-12-31,"-0.0703","0.003884"
"600182",2015-01-30,"-0.0366","0.004126"
"600182",2015-02-27,"0.0049","0.004087"
"600182",2015-03-31,"0.1780","0.004083"
"600182",2015-04-30,"0.2407","0.003838"
"600182",2015-05-29,"0.3438","0.002815"
"600182",2015-06-30,"-0.2127","0.002524"
"600182",2015-07-31,"-0.2411","0.002644"
"600182",2015-08-31,"-0.2422","0.002592"
"600182",2015-09-30,"0.0098","0.002602"
"600182",2015-10-30,"0.1349","0.002618"
"600182",2015-11-30,"0.0453","0.002534"
"600182",2015-12-31,"0.3030","0.002549"
"600182",2016-01-29,"-0.3216","0.002544"
"600182",2016-02-29,"-0.0153","0.002504"
"600182",2016-03-31,"0.2680","0.002341"
"600182",2016-04-01,"-0.0154","0.002381"
"600182",2016-09-30,"0.3236","0.002327"
"600182",2016-10-31,"0.2026","0.002339"
"600182",2016-11-30,"0.3074","0.002433"
"600182",2016-12-30,"-0.1858","0.002643"
"600182",2017-01-26,"-0.0742","0.003047"
"600182",2017-02-28,"0.0905","0.003466"
"600182",2017-03-31,"-0.0761","0.003623"
"600182",2017-04-28,"-0.0611","0.003579"
"600182",2017-05-31,"-0.1335","0.003699"
"600182",2017-06-30,"0.0227","0.003895"
"600182",2017-07-07,"0.0074","0.003596"
"600182",2017-09-29,"0.0108","0.003650"
"600182",2017-10-31,"0.0739","0.003641"
"600182",2017-11-30,"-0.0684","0.003798"
"600182",2017-12-29,"0.0205","0.004030"
"600182",2018-01-31,"0.1381","0.003924"
"600182",2018-02-28,"-0.0243","0.003924"
"600182",2018-03-30,"-0.0271","0.003899"
"600182",2018-04-27,"0.0360","0.003464"
"600182",2018-05-31,"-0.0811","0.003425"
"600182",2018-06-29,"0.0378","0.003597"
"600182",2018-07-31,"-0.0311","0.003002"
"600182",2018-08-31,"0.0512","0.002402"
"600182",2018-09-28,"-0.0850","0.002368"
"600182",2018-10-31,"-0.3211","0.002386"
"600182",2018-11-30,"0.0361","0.002526"
"600182",2018-12-28,"-0.1117","0.002664"
"600182",2019-01-31,"-0.0149","0.002511"
"600182",2019-02-28,"0.1503","0.002357"
"600182",2019-03-29,"0.0310","0.002325"
"600182",2019-04-30,"0.0353","0.002339"
"600182",2019-05-31,"-0.0157","0.002423"
"600182",2019-06-28,"-0.0159","0.002404"
"600182",2019-07-31,"-0.0151","0.002185"
"600182",2019-08-30,"-0.0536","0.002218"
"600182",2019-09-30,"0.0174","0.002261"
"600182",2019-10-31,"0.0037","0.002304"
"600182",2019-11-29,"-0.0664","0.002490"
"600182",2019-12-31,"0.0581","0.002524"
"600182",2020-01-23,"-0.0129","0.002403"
"600182",2020-02-28,"-0.1174","0.002178"
"600182",2020-03-31,"-0.0821","0.001796"
"600182",2020-04-30,"-0.0062","0.001279"
"600182",2020-05-29,"0.0085","0.001172"
"600182",2020-06-11,"0.1438","0.001589"
"600182",2020-07-31,"-0.0235","0.001932"
"600182",2020-08-31,"0.0192","0.002171"
"600182",2020-09-30,"-0.0591","0.002231"
"600182",2020-10-30,"-0.0563","0.002332"
"600182",2020-11-30,"0.1737","0.002524"
"600182",2020-12-31,"-0.0033","0.002439"
"600182",2021-01-29,"-0.0955","0.002205"
"600182",2021-02-26,"0.0224","0.002342"
"600182",2021-03-31,"0.0255","0.002261"
"600182",2021-04-30,"-0.0890","0.002173"
"600182",2021-05-31,"-0.0250","0.002102"
"600182",2021-06-30,"0.0031","0.002040"
"600182",2021-07-30,"0.1513","0.002015"
"600182",2021-08-31,"0.0040","0.001969"
"600182",2021-09-30,"-0.0921","0.001980"
"600182",2021-10-29,"-0.0185","0.002027"
"600182",2021-11-30,"0.0030","0.002055"
"600182",2021-12-31,"0.0120","0.002079"
"600182",2022-01-28,"0.0149","0.002070"
"600182",2022-02-28,"0.0183","0.002015"
"600182",2022-03-31,"-0.0590","0.001971"
"600182",2022-04-28,"-0.3422","0.001935"
"600182",2022-05-31,"0.1196","0.001758"
"600182",2022-06-30,"0.3817","0.001667"
"600182",2022-07-29,"0.1303","0.001620"
"600182",2022-08-31,"-0.0999","0.001366"
"600182",2022-09-30,"-0.1213","0.001342"
"600182",2022-10-31,"-0.0059","0.001413"
"600182",2022-11-30,"0.1423","0.001676"
"600182",2022-12-30,"0.0378","0.001931"
"600182",2023-01-31,"0.0650","0.001973"
"600182",2023-02-28,"-0.0577","0.001986"
"600182",2023-03-31,"-0.0562","0.002066"
"600182",2023-04-28,"0.0950","0.002021"
"600182",2023-05-31,"0.1329","0.001928"
"600182",2023-06-30,"-0.0371","0.001794"
"600182",2023-07-31,"0.0167","0.001764"
"600182",2023-08-31,"-0.0902","0.001708"
"600182",2023-09-28,"0.0062","0.001807"
"600182",2023-10-31,"0.0000","0.001945"
"600182",2023-11-30,"0.0265","0.002044"
"600182",2023-12-29,"-0.0185","0.002068"
"600183",2004-01-30,"0.3255","0.002046"
"600183",2004-02-27,"-0.0347","0.001888"
"600183",2004-03-31,"0.0010","0.001682"
"600183",2004-04-30,"-0.0980","0.001776"
"600183",2004-05-31,"-0.0312","0.002020"
"600183",2004-06-30,"-0.0954","0.002354"
"600183",2004-07-30,"0.1818","0.002402"
"600183",2004-08-31,"-0.0854","0.002377"
"600183",2004-09-30,"0.0588","0.002008"
"600183",2004-10-29,"0.0675","0.002090"
"600183",2004-11-30,"-0.0122","0.002086"
"600183",2004-12-31,"-0.1404","0.002035"
"600183",2005-01-31,"-0.1561","0.002085"
