IdxNm,TrdDt,IdxWkRet
"上证能源",2018-01-05,"0.0625"
"上证能源",2018-01-12,"0.0124"
"上证能源",2018-01-19,"-0.0055"
"上证能源",2018-01-26,"0.0314"
"上证能源",2018-02-02,"0.0267"
"上证能源",2018-02-09,"-0.1370"
"上证能源",2018-02-14,"0.0171"
"上证能源",2018-02-23,"0.0349"
"上证能源",2018-03-02,"-0.0409"
"上证能源",2018-03-09,"0.0009"
"上证能源",2018-03-16,"-0.0081"
"上证能源",2018-03-23,"-0.0309"
"上证能源",2018-03-30,"-0.0154"
"上证能源",2018-04-04,"-0.0243"
"上证能源",2018-04-13,"0.0151"
"上证能源",2018-04-20,"-0.0106"
"上证能源",2018-04-27,"0.0057"
"上证能源",2018-05-04,"-0.0007"
"上证能源",2018-05-11,"0.0409"
"上证能源",2018-05-18,"0.0394"
"上证能源",2018-05-25,"-0.0580"
"上证能源",2018-06-01,"-0.0204"
"上证能源",2018-06-08,"-0.0186"
"上证能源",2018-06-15,"-0.0003"
"上证能源",2018-06-22,"-0.0336"
"上证能源",2018-06-29,"-0.0037"
"上证能源",2018-07-06,"-0.0533"
"上证能源",2018-07-13,"0.0029"
"上证能源",2018-07-20,"-0.0055"
"上证能源",2018-07-27,"0.0417"
"上证能源",2018-08-03,"-0.0218"
"上证能源",2018-08-10,"0.0337"
"上证能源",2018-08-17,"-0.0292"
"上证能源",2018-08-24,"0.0189"
"上证能源",2018-08-31,"0.0022"
"上证能源",2018-09-07,"0.0120"
"上证能源",2018-09-14,"0.0092"
"上证能源",2018-09-21,"0.0417"
"上证能源",2018-09-28,"0.0191"
"上证能源",2018-10-12,"-0.0282"
"上证能源",2018-10-19,"-0.0575"
"上证能源",2018-10-26,"0.0151"
"上证能源",2018-11-02,"0.0007"
"上证能源",2018-11-09,"-0.0204"
"上证能源",2018-11-16,"-0.0017"
"上证能源",2018-11-23,"-0.0477"
"上证能源",2018-11-30,"-0.0076"
"上证能源",2018-12-07,"0.0108"
"上证能源",2018-12-14,"-0.0089"
"上证能源",2018-12-21,"-0.0353"
"上证能源",2018-12-28,"-0.0448"
"上证能源",2019-01-04,"0.0076"
"上证能源",2019-01-11,"0.0328"
"上证能源",2019-01-18,"0.0295"
"上证能源",2019-01-25,"-0.0155"
"上证能源",2019-02-01,"0.0139"
"上证能源",2019-02-15,"0.0169"
"上证能源",2019-02-22,"0.0270"
"上证能源",2019-03-01,"0.0594"
"上证能源",2019-03-08,"-0.0237"
"上证能源",2019-03-15,"0.0141"
"上证能源",2019-03-22,"0.0215"
"上证能源",2019-03-29,"-0.0253"
"上证能源",2019-04-04,"0.0552"
"上证能源",2019-04-12,"-0.0247"
"上证能源",2019-04-19,"0.0398"
"上证能源",2019-04-26,"-0.0685"
"上证能源",2019-04-30,"-0.0075"
"上证能源",2019-05-10,"-0.0471"
"上证能源",2019-05-17,"-0.0114"
"上证能源",2019-05-24,"-0.0028"
"上证能源",2019-05-31,"0.0036"
"上证能源",2019-06-06,"-0.0262"
"上证能源",2019-06-14,"0.0094"
"上证能源",2019-06-21,"0.0291"
"上证能源",2019-06-28,"-0.0038"
"上证能源",2019-07-05,"0.0020"
"上证能源",2019-07-12,"-0.0386"
"上证能源",2019-07-19,"0.0015"
"上证能源",2019-07-26,"0.0005"
"上证能源",2019-08-02,"-0.0216"
"上证能源",2019-08-09,"-0.0425"
"上证能源",2019-08-16,"0.0013"
"上证能源",2019-08-23,"0.0124"
