Exchflg,Date,Rmrf_mc,Smb_mc,Hml_mc
"0",2018-01-05,"0.0247","-0.0075","0.0165"
"0",2018-01-12,"0.0077","-0.0193","-0.0015"
"0",2018-01-19,"0.0036","-0.0032","0.0263"
"0",2018-01-26,"0.0185","-0.0121","0.0052"
"0",2018-02-02,"-0.0452","-0.0461","0.0278"
"0",2018-02-09,"-0.0949","0.0098","-0.0198"
"0",2018-02-14,"0.0283","-0.0067","-0.0064"
"0",2018-02-23,"0.0257","-0.0049","0.0070"
"0",2018-03-02,"0.0048","0.0207","-0.0370"
"0",2018-03-09,"0.0245","0.0010","-0.0175"
"0",2018-03-16,"-0.0131","0.0063","-0.0022"
"0",2018-03-23,"-0.0453","-0.0136","-0.0096"
"0",2018-03-30,"0.0235","0.0276","-0.0277"
"0",2018-04-04,"-0.0131","-0.0003","-0.0017"
"0",2018-04-13,"0.0055","-0.0016","0.0075"
"0",2018-04-20,"-0.0308","-0.0074","-0.0044"
"0",2018-04-27,"0.0013","-0.0019","0.0011"
"0",2018-05-04,"0.0044","-0.0087","0.0030"
"0",2018-05-11,"0.0227","-0.0029","-0.0034"
"0",2018-05-18,"0.0067","-0.0103","0.0076"
"0",2018-05-25,"-0.0135","0.0074","-0.0085"
"0",2018-06-01,"-0.0284","-0.0208","0.0086"
"0",2018-06-08,"0.0007","-0.0110","-0.0086"
"0",2018-06-15,"-0.0224","-0.0228","0.0279"
"0",2018-06-22,"-0.0510","-0.0364","0.0073"
"0",2018-06-29,"-0.0061","0.0262","-0.0205"
"0",2018-07-06,"-0.0408","0.0119","-0.0008"
"0",2018-07-13,"0.0411","-0.0185","-0.0194"
"0",2018-07-20,"-0.0024","0.0063","0.0078"
"0",2018-07-27,"0.0111","0.0204","0.0330"
"0",2018-08-03,"-0.0586","-0.0013","0.0321"
"0",2018-08-10,"0.0206","0.0008","0.0098"
"0",2018-08-17,"-0.0482","0.0082","0.0083"
"0",2018-08-24,"0.0190","-0.0074","-0.0058"
"0",2018-08-31,"-0.0039","-0.0089","0.0065"
"0",2018-09-07,"-0.0104","0.0126","0.0038"
"0",2018-09-14,"-0.0135","0.0036","0.0238"
"0",2018-09-21,"0.0393","-0.0175","-0.0015"
"0",2018-09-28,"0.0034","-0.0195","0.0015"
"0",2018-10-12,"-0.0883","-0.0192","0.0166"
"0",2018-10-19,"-0.0241","-0.0017","-0.0081"
"0",2018-10-26,"0.0202","0.0378","0.0208"
"0",2018-11-02,"0.0371","-0.0004","-0.0175"
"0",2018-11-09,"-0.0255","0.0397","0.0050"
"0",2018-11-16,"0.0428","0.0472","-0.0015"
"0",2018-11-23,"-0.0419","-0.0104","-0.0012"
"0",2018-11-30,"0.0013","-0.0043","0.0022"
"0",2018-12-07,"0.0076","0.0086","-0.0027"
"0",2018-12-14,"-0.0101","-0.0166","0.0051"
"0",2018-12-21,"-0.0313","0.0188","0.0054"
"0",2018-12-28,"-0.0110","-0.0101","-0.0085"
"0",2019-01-04,"0.0081","0.0234","0.0119"
"0",2019-01-11,"0.0193","0.0128","-0.0022"
"0",2019-01-18,"0.0122","-0.0222","-0.0046"
"0",2019-01-25,"0.0005","-0.0036","0.0005"
"0",2019-02-01,"0.0004","-0.0498","0.0039"
"0",2019-02-15,"0.0379","0.0251","-0.0208"
"0",2019-02-22,"0.0520","0.0220","-0.0098"
"0",2019-03-01,"0.0644","-0.0033","-0.0006"
"0",2019-03-08,"0.0051","0.0385","-0.0104"
"0",2019-03-15,"0.0189","0.0065","0.0043"
"0",2019-03-22,"0.0306","0.0174","0.0122"
"0",2019-03-29,"-0.0043","-0.0178","-0.0224"
"0",2019-04-04,"0.0506","0.0088","0.0144"
"0",2019-04-12,"-0.0206","0.0115","0.0048"
"0",2019-04-19,"0.0243","0.0041","-0.0080"
