StkCd,Date,Beta_TMV_H
"000967",2009-06-30,"0.9788"
"000967",2009-07-31,"0.9085"
"000967",2009-08-31,"1.0499"
"000967",2009-09-30,"0.9964"
"000967",2009-10-28,"1.2074"
"000967",2009-11-30,"0.9677"
"000967",2009-12-31,"0.9087"
"000967",2010-01-29,"1.0025"
"000967",2010-02-26,"1.0128"
"000967",2010-03-31,"0.8966"
"000967",2010-04-30,"0.8537"
"000967",2010-05-31,"0.9091"
"000967",2010-06-30,"1.0529"
"000967",2010-07-30,"1.1569"
"000967",2010-08-31,"1.0433"
"000967",2010-09-30,"0.9578"
"000967",2010-10-29,"0.4951"
"000967",2010-11-30,"0.7980"
"000967",2010-12-31,"0.8204"
"000967",2011-01-31,"0.7842"
"000967",2011-02-28,"0.7745"
"000967",2011-03-31,"0.6918"
"000967",2011-04-29,"0.8205"
"000967",2011-05-31,"0.8221"
"000967",2011-06-30,"0.6814"
"000967",2011-07-29,"0.6605"
"000967",2011-08-31,"0.4946"
"000967",2011-09-30,"0.4689"
"000967",2011-10-31,"0.9077"
"000967",2011-11-30,"0.8909"
"000967",2011-12-30,"1.1208"
"000967",2012-01-31,"1.1655"
"000967",2012-02-29,"1.0483"
"000967",2012-03-30,"1.0831"
"000967",2012-04-27,"1.1130"
"000967",2012-05-31,"1.0849"
"000967",2012-06-29,"1.0751"
"000967",2012-07-31,"1.0996"
"000967",2012-08-31,"1.0958"
"000967",2012-09-28,"1.1640"
"000967",2012-10-31,"1.1529"
"000967",2012-11-30,"1.2092"
"000967",2012-12-31,"1.0406"
"000967",2013-01-31,"1.0470"
"000967",2013-02-28,"1.1472"
"000967",2013-03-29,"1.0793"
"000967",2013-04-26,"1.0377"
"000967",2013-05-31,"0.9358"
"000967",2013-06-28,"0.6508"
"000967",2013-07-31,"0.5635"
"000967",2013-08-30,"0.6346"
"000967",2013-09-30,"0.5983"
"000967",2013-10-31,"0.6316"
"000967",2013-11-29,"0.4316"
"000967",2013-12-31,"0.3682"
"000967",2014-01-30,"0.3727"
"000967",2014-02-28,"0.3351"
"000967",2014-03-31,"0.3177"
"000967",2014-04-30,"0.3245"
"000967",2014-05-30,"0.3062"
"000967",2014-06-30,"0.6432"
"000967",2014-07-31,"0.9500"
"000967",2014-08-29,"0.7767"
"000967",2014-09-09,"1.1643"
"000967",2015-03-31,"0.5422"
"000967",2015-04-30,"1.8849"
"000967",2015-05-29,"1.1695"
"000967",2015-06-30,"1.1398"
"000967",2015-07-31,"1.3851"
"000967",2015-08-31,"1.3579"
"000967",2015-09-30,"1.3619"
"000967",2015-10-30,"1.4387"
"000967",2015-11-30,"1.4577"
"000967",2015-12-31,"1.4527"
"000967",2016-01-29,"1.4917"
"000967",2016-02-29,"1.4986"
"000967",2016-03-31,"1.5610"
"000967",2016-04-29,"1.2390"
"000967",2016-05-31,"1.4733"
"000967",2016-06-30,"1.4782"
"000967",2016-07-29,"1.4089"
"000967",2016-08-31,"1.4646"
"000967",2016-09-30,"1.4387"
"000967",2016-10-31,"1.2711"
"000967",2016-11-30,"1.1278"
"000967",2016-12-30,"1.1079"
"000967",2017-01-26,"0.4601"
"000967",2017-02-28,"0.5194"
"000967",2017-03-31,"0.2772"
"000967",2017-04-28,"0.3368"
"000967",2017-05-31,"0.4348"
"000967",2017-06-30,"0.5092"
"000967",2017-07-31,"0.4597"
"000967",2017-08-31,"0.3970"
"000967",2017-09-29,"0.4592"
"000967",2017-10-31,"0.4971"
"000967",2017-11-30,"0.9169"
"000967",2017-12-29,"1.1028"
"000967",2018-01-31,"1.2545"
"000967",2018-02-28,"1.2901"
"000967",2018-03-30,"1.2241"
"000967",2018-04-27,"1.0950"
"000967",2018-05-17,"1.1819"
"000967",2018-07-31,"1.0233"
"000967",2018-08-31,"1.3023"
"000967",2018-09-28,"1.1439"
"000967",2018-10-31,"1.4009"
"000967",2018-11-30,"1.2711"
"000967",2018-12-28,"1.1093"
"000967",2019-01-31,"1.0734"
"000967",2019-02-28,"0.9550"
"000967",2019-03-29,"0.9141"
"000967",2019-04-30,"0.8949"
"000967",2019-05-31,"0.9566"
"000967",2019-06-28,"0.9961"
"000967",2019-07-31,"0.9769"
"000967",2019-08-30,"0.9215"
"000967",2019-09-30,"0.9154"
"000967",2019-10-31,"0.7910"
"000967",2019-11-29,"0.8143"
"000967",2019-12-31,"0.8901"
"000967",2020-01-23,"0.8921"
"000967",2020-02-28,"0.8918"
"000967",2020-03-31,"1.1897"
"000967",2020-04-30,"1.3301"
"000967",2020-05-29,"1.3465"
