Stkcd,Date,ClPr,Trdsum,MonTrdTurnR,Monrfret,PE,EPS,ROE,IncomePS
"600106",2001-01-19,"13.2300","97239513.00","8.1501","0.001650","52.71","0.12","4.395300","0.19"
"600106",2001-02-28,"12.8700","41696590.00","3.6558","0.001650","51.27","0.25","9.097700","0.40"
"600106",2001-03-30,"14.0800","235618620.00","19.3097","0.001650","56.10","0.25","9.097700","0.40"
"600106",2001-04-30,"14.1500","452316295.00","34.1920","0.001650","57.16","0.25","9.097700","0.40"
"600106",2001-05-31,"14.3100","164499304.00","12.6700","0.001650","57.81","0.25","9.097700","0.40"
"600106",2001-06-29,"15.0200","250393469.00","18.9870","0.001650","60.67","0.25","9.097700","0.40"
"600106",2001-07-31,"12.3900","152316188.00","11.7139","0.001650","50.76","0.25","9.097700","0.40"
"600106",2001-08-31,"11.9000","58665828.00","5.2660","0.001650","48.75","0.11","3.988600","0.22"
"600106",2001-09-28,"10.8800","43762061.00","4.2089","0.001650","44.57","0.11","3.988600","0.22"
"600106",2001-10-31,"10.7800","95963790.00","10.1947","0.001650","45.85","0.11","3.988600","0.22"
"600106",2001-11-30,"11.9500","199823938.00","19.4656","0.001650","50.83","0.11","3.988600","0.22"
"600106",2001-12-31,"10.8900","68550706.00","6.6399","0.001650","46.32","0.11","3.988600","0.22"
"600106",2002-01-31,"9.9600","57654614.00","6.7233","0.001650","44.05","0.11","3.988600","0.22"
"600106",2002-02-28,"9.9000","39140608.00","4.3201","0.001586","43.79","0.11","3.988600","0.22"
"600106",2002-03-29,"10.3400","201076102.00","20.6064","0.001425","45.73","0.23","7.863000","0.44"
"600106",2002-04-30,"10.6100","78106457.00","8.2820","0.001425","52.37","0.03","1.144000","0.44"
"600106",2002-05-31,"9.5700","42596935.00","4.7015","0.001425","47.24","0.03","1.144000","0.44"
"600106",2002-06-28,"10.4600","124702225.00","13.3290","0.001425","51.63","0.03","1.144000","0.44"
"600106",2002-07-31,"9.8600","54828359.00","5.9187","0.001425","43.13","0.03","1.144000","0.44"
"600106",2002-08-30,"10.6300","161024646.00","16.9708","0.001656","46.50","0.12","3.880500","0.31"
"600106",2002-09-27,"9.9000","45089892.00","4.9150","0.001852","43.31","0.12","3.880500","0.31"
"600106",2002-10-31,"9.2300","66608247.00","7.9346","0.001892","44.99","0.15","4.926500","0.50"
