股票代码_Stkcd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_tmv_h
"600106",2001-01-19,"1.0237"
"600106",2001-02-28,"1.0145"
"600106",2001-03-30,"1.0218"
"600106",2001-04-30,"1.0398"
"600106",2001-05-31,"1.0393"
"600106",2001-06-29,"1.0347"
"600106",2001-07-31,"1.0763"
"600106",2001-08-31,"1.0529"
"600106",2001-09-28,"1.0805"
"600106",2001-10-31,"1.0664"
"600106",2001-11-30,"1.0737"
"600106",2001-12-31,"1.0770"
"600106",2002-01-31,"1.0664"
"600106",2002-02-28,"1.0610"
"600106",2002-03-29,"1.0627"
"600106",2002-04-30,"1.0683"
"600106",2002-05-31,"1.1405"
"600106",2002-06-28,"1.1934"
"600106",2002-07-31,"1.2095"
"600106",2002-08-30,"1.2089"
"600106",2002-09-27,"1.2030"
"600106",2002-10-31,"1.1980"
"600106",2002-11-29,"1.2700"
"600106",2002-12-31,"1.2712"
"600106",2003-01-29,"1.0588"
"600106",2003-02-28,"1.0515"
"600106",2003-03-31,"1.0217"
"600106",2003-04-30,"1.0350"
"600106",2003-05-30,"1.0051"
"600106",2003-06-30,"1.0299"
"600106",2003-07-31,"1.0732"
"600106",2003-08-29,"1.0752"
"600106",2003-09-30,"1.0701"
"600106",2003-10-31,"1.0810"
"600106",2003-11-28,"1.1245"
"600106",2003-12-31,"1.0978"
"600106",2004-01-30,"1.0950"
"600106",2004-02-27,"1.1727"
"600106",2004-03-31,"1.1785"
"600106",2004-04-30,"1.1618"
"600106",2004-05-31,"1.1765"
"600106",2004-06-30,"1.1948"
"600106",2004-07-30,"1.1841"
"600106",2004-08-31,"1.1949"
"600106",2004-09-30,"1.2104"
"600106",2004-10-29,"1.2256"
"600106",2004-11-30,"1.2184"
"600106",2004-12-31,"1.1874"
"600106",2005-01-31,"1.2219"
"600106",2005-02-28,"1.2252"
"600106",2005-03-31,"1.2803"
"600106",2005-04-29,"1.2872"
"600106",2005-05-31,"1.2943"
"600106",2005-06-30,"1.3999"
"600106",2005-07-29,"1.3979"
"600106",2005-08-31,"1.4676"
"600106",2005-09-29,"1.4813"
"600106",2005-10-31,"1.6417"
"600106",2005-11-30,"1.6328"
"600106",2005-12-30,"1.6407"
"600106",2006-01-25,"1.6723"
"600106",2006-02-28,"1.6700"
"600106",2006-03-31,"1.6704"
"600106",2006-04-28,"1.5667"
"600106",2006-05-31,"1.3762"
"600106",2006-06-30,"1.3719"
"600106",2006-07-31,"1.3131"
"600106",2006-08-31,"1.3346"
"600106",2006-09-29,"1.2971"
"600106",2006-10-31,"1.2660"
"600106",2006-11-30,"1.1768"
"600106",2006-12-29,"1.0706"
"600106",2007-01-31,"1.3362"
"600106",2007-02-28,"1.3129"
"600106",2007-03-30,"1.2674"
"600106",2007-04-30,"1.6476"
"600106",2007-05-31,"1.6123"
"600106",2007-06-29,"1.3189"
"600106",2007-07-31,"1.1800"
"600106",2007-08-31,"1.0746"
"600106",2007-09-28,"1.0717"
"600106",2007-10-31,"1.0939"
"600106",2007-11-30,"1.0891"
"600106",2007-12-28,"1.1109"
"600106",2008-01-31,"1.1248"
"600106",2008-02-29,"1.1243"
"600106",2008-03-31,"1.0116"
"600106",2008-04-30,"1.0144"
"600106",2008-05-30,"0.8771"
"600106",2008-06-30,"0.8953"
"600106",2008-07-31,"0.8812"
"600106",2008-08-28,"0.9624"
"600106",2008-09-26,"0.9721"
"600106",2008-10-31,"0.8489"
"600106",2008-11-28,"0.8775"
"600106",2008-12-31,"0.8823"
"600106",2009-01-23,"0.8942"
"600106",2009-02-27,"0.8931"
"600106",2009-03-31,"0.8857"
"600106",2009-04-30,"0.8912"
"600106",2009-05-27,"0.9059"
"600106",2009-06-30,"0.8856"
"600106",2009-07-31,"0.9218"
"600106",2009-08-31,"0.9348"
"600106",2009-09-30,"0.9346"
"600106",2009-10-30,"0.9293"
"600106",2009-11-30,"0.9424"
"600106",2009-12-31,"0.9667"
"600106",2010-01-29,"0.8537"
"600106",2010-02-26,"0.8546"
"600106",2010-03-31,"0.8634"
"600106",2010-04-30,"0.6304"
"600106",2010-05-31,"0.6329"
"600106",2010-06-30,"0.7357"
"600106",2010-07-30,"0.7878"
"600106",2010-08-31,"0.8394"
"600106",2010-09-30,"0.8475"
"600106",2010-10-29,"0.8295"
"600106",2010-11-30,"0.8257"
"600106",2010-12-31,"0.8119"
"600106",2011-01-31,"0.7897"
"600106",2011-02-28,"0.7972"
"600106",2011-03-30,"0.8246"
"600106",2011-04-29,"0.8478"
"600106",2011-05-31,"0.9340"
"600106",2011-06-30,"0.9286"
"600106",2011-07-29,"0.9226"
"600106",2011-08-31,"0.8042"
"600106",2011-09-30,"0.8380"
"600106",2011-10-31,"0.9388"
"600106",2011-11-30,"0.8455"
"600106",2011-12-30,"0.8629"
"600106",2012-01-31,"0.8353"
"600106",2012-02-29,"0.8864"
"600106",2012-03-30,"0.8975"
"600106",2012-04-27,"0.8895"
"600106",2012-05-31,"0.8990"
"600106",2012-06-29,"1.0145"
"600106",2012-07-31,"0.9036"
"600106",2012-08-31,"0.8447"
"600106",2012-09-28,"0.8858"
"600106",2012-10-31,"0.9207"
"600106",2012-11-30,"0.9334"
"600106",2012-12-31,"0.9324"
"600106",2013-01-31,"1.0758"
"600106",2013-02-28,"1.0240"
"600106",2013-03-29,"1.0620"
"600106",2013-04-26,"1.0625"
"600106",2013-05-31,"1.1543"
"600106",2013-06-28,"1.0459"
"600106",2013-07-31,"1.0820"
"600106",2013-08-30,"1.1784"
"600106",2013-09-30,"1.1364"
"600106",2013-10-31,"1.2531"
"600106",2013-11-29,"1.2289"
"600106",2013-12-31,"1.2381"
"600106",2014-01-30,"1.2484"
"600106",2014-02-28,"1.2123"
"600106",2014-03-31,"1.2258"
"600106",2014-04-30,"1.2258"
"600106",2014-05-30,"1.2024"
"600106",2014-06-30,"1.2027"
"600106",2014-07-31,"1.1643"
"600106",2014-08-29,"1.2064"
"600106",2014-09-30,"1.1227"
"600106",2014-10-31,"1.1510"
"600106",2014-11-28,"1.1933"
"600106",2014-12-31,"0.9324"
"600106",2015-01-30,"0.9089"
"600106",2015-02-27,"0.8361"
"600106",2015-03-31,"0.8301"
"600106",2015-04-30,"0.9273"
"600106",2015-05-29,"0.9037"
"600106",2015-06-30,"0.8417"
"600106",2015-07-31,"1.0145"
"600106",2015-08-31,"0.7458"
"600106",2016-01-29,"0.9330"
"600106",2016-02-29,"0.9242"
"600106",2016-03-31,"0.9184"
"600106",2016-04-29,"0.9364"
"600106",2016-05-31,"0.9461"
"600106",2016-06-30,"0.9449"
"600106",2016-07-29,"0.9269"
"600106",2016-08-31,"0.9237"
"600106",2016-09-30,"0.9366"
"600106",2016-10-31,"0.9510"
"600106",2016-11-30,"0.9410"
"600106",2016-12-30,"0.9164"
"600106",2017-01-26,"0.9373"
"600106",2017-02-28,"0.9435"
"600106",2017-03-31,"0.9445"
"600106",2017-04-28,"0.9521"
"600106",2017-05-31,"0.9531"
"600106",2017-06-30,"0.9507"
"600106",2017-07-31,"0.9607"
"600106",2017-08-31,"0.9636"
"600106",2017-09-29,"0.9623"
"600106",2017-10-31,"0.9626"
"600106",2017-11-30,"0.9888"
"600106",2017-12-29,"1.0002"
"600106",2018-01-31,"0.9780"
"600106",2018-02-28,"0.9751"
"600106",2018-03-30,"0.9600"
"600106",2018-04-27,"1.0882"
"600106",2018-05-31,"1.0907"
"600106",2018-06-29,"1.0876"
"600106",2018-07-31,"1.1333"
"600106",2018-08-31,"1.0753"
"600106",2018-09-28,"1.0016"
"600106",2018-10-31,"0.9839"
"600106",2018-11-30,"0.8095"
"600106",2018-12-28,"1.2920"
"600106",2019-01-31,"1.0564"
"600106",2019-02-28,"1.1828"
"600106",2019-03-29,"1.1425"
"600106",2019-04-30,"1.1020"
"600106",2019-05-31,"1.0997"
"600106",2019-06-28,"1.0947"
"600106",2019-07-31,"1.1164"
"600106",2019-08-30,"1.1096"
"600106",2019-09-30,"1.1235"
"600106",2019-10-31,"1.1269"
"600106",2019-11-29,"1.1534"
"600106",2019-12-31,"1.1829"
"600106",2020-01-23,"1.1260"
"600106",2020-02-28,"1.1440"
"600106",2020-03-31,"1.1140"
"600106",2020-04-30,"1.0848"
"600106",2020-05-29,"1.0762"
"600106",2020-06-30,"1.0289"
"600106",2020-07-31,"0.9578"
"600106",2020-08-31,"0.9672"
"600106",2020-09-30,"0.9352"
"600106",2020-10-30,"0.9368"
"600106",2020-11-30,"0.9227"
"600106",2020-12-31,"0.9069"
"600106",2021-01-29,"0.9422"
"600106",2021-02-26,"0.9580"
"600106",2021-03-31,"0.9532"
"600106",2021-04-30,"0.9517"
"600106",2021-05-31,"0.9281"
"600106",2021-06-30,"0.8885"
"600106",2021-07-30,"0.8462"
"600106",2021-08-31,"0.8365"
"600106",2021-09-30,"0.8473"
"600106",2021-10-29,"0.8929"
"600106",2021-11-30,"0.8397"
"600106",2021-12-31,"0.9283"
"600106",2022-01-28,"0.8505"
"600106",2022-02-28,"0.7435"
"600106",2022-03-31,"0.6852"
"600106",2022-04-29,"0.8734"
"600106",2022-05-31,"0.8709"
"600106",2022-06-30,"0.8847"
"600106",2022-07-29,"0.8016"
"600106",2022-08-31,"0.7498"
"600106",2022-09-30,"0.8561"
"600106",2022-10-31,"0.7299"
"600106",2022-11-30,"0.6582"
"600106",2022-12-30,"0.6799"
"600106",2023-01-31,"0.6280"
"600106",2023-02-28,"0.5919"
"600106",2023-03-31,"0.5979"
"600106",2023-04-28,"0.5991"
"600106",2023-05-31,"0.6557"
