指数代码_IdxCd,交易日期_TrdDt,收盘价_ClPr,指数日收益率_IdxDRet
"000001",2008-01-02,"5272.81","0.0021"
"000001",2008-01-03,"5319.86","0.0089"
"000001",2008-01-04,"5361.57","0.0078"
"000001",2008-01-07,"5393.34","0.0059"
"000001",2008-01-08,"5386.53","-0.0013"
"000001",2008-01-09,"5435.81","0.0091"
"000001",2008-01-10,"5456.54","0.0038"
"000001",2008-01-11,"5484.68","0.0052"
"000001",2008-01-14,"5497.90","0.0024"
"000001",2008-01-15,"5443.79","-0.0098"
"000001",2008-01-16,"5290.61","-0.0281"
"000001",2008-01-17,"5151.63","-0.0263"
"000001",2008-01-18,"5180.51","0.0056"
"000001",2008-01-21,"4914.44","-0.0514"
"000001",2008-01-22,"4559.75","-0.0722"
"000001",2008-01-23,"4703.05","0.0314"
"000001",2008-01-24,"4717.73","0.0031"
"000001",2008-01-25,"4761.69","0.0093"
"000001",2008-01-28,"4419.29","-0.0719"
"000001",2008-01-29,"4457.94","0.0087"
"000001",2008-01-30,"4417.85","-0.0090"
"000001",2008-01-31,"4383.39","-0.0078"
"000001",2008-02-01,"4320.77","-0.0143"
"000001",2008-02-04,"4672.17","0.0813"
"000001",2008-02-05,"4599.70","-0.0155"
"000001",2008-02-13,"4490.72","-0.0237"
"000001",2008-02-14,"4552.32","0.0137"
"000001",2008-02-15,"4497.13","-0.0121"
"000001",2008-02-18,"4568.15","0.0158"
"000001",2008-02-19,"4664.30","0.0210"
"000001",2008-02-20,"4567.03","-0.0209"
"000001",2008-02-21,"4527.18","-0.0087"
"000001",2008-02-22,"4370.28","-0.0347"
"000001",2008-02-25,"4192.53","-0.0407"
"000001",2008-02-26,"4238.18","0.0109"
"000001",2008-02-27,"4334.05","0.0226"
"000001",2008-02-28,"4299.51","-0.0080"
"000001",2008-02-29,"4348.54","0.0114"
"000001",2008-03-03,"4438.27","0.0206"
"000001",2008-03-04,"4335.45","-0.0232"
"000001",2008-03-05,"4292.65","-0.0099"
"000001",2008-03-06,"4360.99","0.0159"
"000001",2008-03-07,"4300.52","-0.0139"
"000001",2008-03-10,"4146.30","-0.0359"
"000001",2008-03-11,"4165.88","0.0047"
"000001",2008-03-12,"4070.12","-0.0230"
"000001",2008-03-13,"3971.26","-0.0243"
"000001",2008-03-14,"3962.67","-0.0022"
"000001",2008-03-17,"3820.05","-0.0360"
"000001",2008-03-18,"3668.90","-0.0396"
"000001",2008-03-19,"3761.61","0.0253"
"000001",2008-03-20,"3804.05","0.0113"
"000001",2008-03-21,"3796.58","-0.0020"
"000001",2008-03-24,"3626.19","-0.0449"
"000001",2008-03-25,"3629.62","0.0009"
"000001",2008-03-26,"3606.86","-0.0063"
"000001",2008-03-27,"3411.49","-0.0542"
"000001",2008-03-28,"3580.15","0.0494"
"000001",2008-03-31,"3472.71","-0.0300"
"000001",2008-04-01,"3329.16","-0.0413"
"000001",2008-04-02,"3347.88","0.0056"
"000001",2008-04-03,"3446.24","0.0294"
"000001",2008-04-07,"3599.62","0.0445"
"000001",2008-04-08,"3612.54","0.0036"
"000001",2008-04-09,"3413.91","-0.0550"
"000001",2008-04-10,"3471.74","0.0169"
"000001",2008-04-11,"3492.89","0.0061"
"000001",2008-04-14,"3296.67","-0.0562"
"000001",2008-04-15,"3348.35","0.0157"
"000001",2008-04-16,"3291.60","-0.0169"
"000001",2008-04-17,"3222.74","-0.0209"
"000001",2008-04-18,"3094.67","-0.0397"
"000001",2008-04-21,"3116.98","0.0072"
"000001",2008-04-22,"3147.79","0.0099"
"000001",2008-04-23,"3278.33","0.0415"
"000001",2008-04-24,"3583.03","0.0929"
"000001",2008-04-25,"3557.75","-0.0071"
"000001",2008-04-28,"3474.72","-0.0233"
"000001",2008-04-29,"3523.41","0.0140"
"000001",2008-04-30,"3693.11","0.0482"
"000001",2008-05-05,"3761.01","0.0184"
"000001",2008-05-06,"3733.50","-0.0073"
"000001",2008-05-07,"3579.15","-0.0413"
"000001",2008-05-08,"3656.84","0.0217"
"000001",2008-05-09,"3613.49","-0.0119"
"000001",2008-05-12,"3626.98","0.0037"
"000001",2008-05-13,"3560.24","-0.0184"
"000001",2008-05-14,"3657.43","0.0273"
"000001",2008-05-15,"3637.32","-0.0055"
"000001",2008-05-16,"3624.23","-0.0036"
"000001",2008-05-19,"3604.76","-0.0054"
"000001",2008-05-20,"3443.16","-0.0448"
"000001",2008-05-21,"3544.19","0.0293"
"000001",2008-05-22,"3485.63","-0.0165"
"000001",2008-05-23,"3473.09","-0.0036"
"000001",2008-05-26,"3364.54","-0.0313"
"000001",2008-05-27,"3375.41","0.0032"
"000001",2008-05-28,"3459.03","0.0248"
"000001",2008-05-29,"3401.44","-0.0166"
