IdxCd,IdxNm,TrdDt,IdxWkRet
"000300","沪深300",2002-01-04,
"000300","沪深300",2002-01-11,"-0.0506"
"000300","沪深300",2002-01-18,"-0.0803"
"000300","沪深300",2002-01-25,"0.0348"
"000300","沪深300",2002-02-01,"0.0221"
"000300","沪深300",2002-02-08,"0.0159"
"000300","沪深300",2002-03-01,"-0.0064"
"000300","沪深300",2002-03-08,"0.1015"
"000300","沪深300",2002-03-15,"-0.0097"
"000300","沪深300",2002-03-22,"0.0233"
"000300","沪深300",2002-03-29,"-0.0412"
"000300","沪深300",2002-04-05,"0.0143"
"000300","沪深300",2002-04-12,"0.0139"
"000300","沪深300",2002-04-19,"-0.0148"
"000300","沪深300",2002-04-26,"0.0008"
"000300","沪深300",2002-04-30,"0.0164"
"000300","沪深300",2002-05-10,"-0.0134"
"000300","沪深300",2002-05-17,"-0.0436"
"000300","沪深300",2002-05-24,"-0.0088"
"000300","沪深300",2002-05-31,"-0.0216"
"000300","沪深300",2002-06-07,"0.0113"
"000300","沪深300",2002-06-14,"-0.0243"
"000300","沪深300",2002-06-21,"0.0543"
"000300","沪深300",2002-06-28,"0.1107"
"000300","沪深300",2002-07-05,"-0.0110"
"000300","沪深300",2002-07-12,"-0.0183"
"000300","沪深300",2002-07-19,"0.0099"
"000300","沪深300",2002-07-26,"-0.0298"
"000300","沪深300",2002-08-02,"-0.0010"
"000300","沪深300",2002-08-09,"-0.0071"
"000300","沪深300",2002-08-16,"-0.0005"
"000300","沪深300",2002-08-23,"0.0221"
"000300","沪深300",2002-08-30,"-0.0131"
"000300","沪深300",2002-09-06,"-0.0198"
"000300","沪深300",2002-09-13,"-0.0094"
"000300","沪深300",2002-09-20,"-0.0122"
"000300","沪深300",2002-09-27,"-0.0154"
"000300","沪深300",2002-10-11,"-0.0377"
"000300","沪深300",2002-10-18,"-0.0028"
"000300","沪深300",2002-10-25,"-0.0001"
"000300","沪深300",2002-11-01,"-0.0046"
"000300","沪深300",2002-11-08,"0.0042"
"000300","沪深300",2002-11-15,"-0.0373"
"000300","沪深300",2002-11-22,"-0.0496"
"000300","沪深300",2002-11-29,"0.0324"
"000300","沪深300",2002-12-06,"-0.0213"
"000300","沪深300",2002-12-13,"-0.0068"
"000300","沪深300",2002-12-20,"0.0223"
