指数名称,交易日期,收盘价
恒生指数,2020/6/1,23732.52
恒生指数,2020/6/2,23995.94
恒生指数,2020/6/3,24325.62
恒生指数,2020/6/4,24366.3
恒生指数,2020/6/5,24770.41
恒生指数,2020/6/8,24776.77
恒生指数,2020/6/9,25057.22
恒生指数,2020/6/10,25049.73
恒生指数,2020/6/11,24480.15
恒生指数,2020/6/12,24301.38
恒生指数,2020/6/15,23776.95
恒生指数,2020/6/16,24344.09
恒生指数,2020/6/17,24481.41
恒生指数,2020/6/18,24464.94
恒生指数,2020/6/19,24643.89
恒生指数,2020/6/22,24511.34
恒生指数,2020/6/23,24907.34
恒生指数,2020/6/24,24781.58
恒生指数,2020/6/26,24549.99
恒生指数,2020/6/29,24301.28
恒生指数,2020/6/30,24427.19
菲律宾综合指数,2020/6/1,5930.17
菲律宾综合指数,2020/6/2,6025.17
菲律宾综合指数,2020/6/3,6245.65
菲律宾综合指数,2020/6/4,6517.49
菲律宾综合指数,2020/6/5,6465.13
菲律宾综合指数,2020/6/8,6514
菲律宾综合指数,2020/6/9,6583.84
菲律宾综合指数,2020/6/10,6439.37
菲律宾综合指数,2020/6/11,6476.24
菲律宾综合指数,2020/6/15,6163.82
菲律宾综合指数,2020/6/16,6281.75
菲律宾综合指数,2020/6/17,6282.01
菲律宾综合指数,2020/6/18,6348.45
菲律宾综合指数,2020/6/19,6315.07
菲律宾综合指数,2020/6/22,6347.43
菲律宾综合指数,2020/6/23,6297.78
菲律宾综合指数,2020/6/24,6188.83
菲律宾综合指数,2020/6/25,6118.26
菲律宾综合指数,2020/6/26,6191.84
菲律宾综合指数,2020/6/29,6105.18
菲律宾综合指数,2020/6/30,6207.72
西班牙马德里指数,2020/6/1,711.3
西班牙马德里指数,2020/6/2,729.89
西班牙马德里指数,2020/6/3,751.37
西班牙马德里指数,2020/6/4,747.09
西班牙马德里指数,2020/6/5,778.28
西班牙马德里指数,2020/6/8,781.14
西班牙马德里指数,2020/6/9,766.96
西班牙马德里指数,2020/6/10,757.16
西班牙马德里指数,2020/6/11,719.06
西班牙马德里指数,2020/6/12,720.84
西班牙马德里指数,2020/6/15,716.97
西班牙马德里指数,2020/6/16,740.06
西班牙马德里指数,2020/6/17,738.06
西班牙马德里指数,2020/6/18,729.76
西班牙马德里指数,2020/6/19,740.12
西班牙马德里指数,2020/6/22,724.48
西班牙马德里指数,2020/6/23,734.44
西班牙马德里指数,2020/6/24,710.92
西班牙马德里指数,2020/6/25,718.16
西班牙马德里指数,2020/6/26,708.87
西班牙马德里指数,2020/6/29,718.77
西班牙马德里指数,2020/6/30,714.6
土耳其ISE-N100指数,2020/6/1,1072.66
土耳其ISE-N100指数,2020/6/2,1080.97
土耳其ISE-N100指数,2020/6/3,1091.11
土耳其ISE-N100指数,2020/6/4,1095.37
土耳其ISE-N100指数,2020/6/5,1100.22
土耳其ISE-N100指数,2020/6/8,1096.37
土耳其ISE-N100指数,2020/6/9,1092.37
土耳其ISE-N100指数,2020/6/10,1097.79
土耳其ISE-N100指数,2020/6/11,1091.55
土耳其ISE-N100指数,2020/6/12,1098.36
土耳其ISE-N100指数,2020/6/15,1095.56
土耳其ISE-N100指数,2020/6/16,1109.4
土耳其ISE-N100指数,2020/6/17,1109.4
土耳其ISE-N100指数,2020/6/18,1124.95
土耳其ISE-N100指数,2020/6/19,1136.12
土耳其ISE-N100指数,2020/6/22,1151.9
土耳其ISE-N100指数,2020/6/23,1153.39
土耳其ISE-N100指数,2020/6/24,1144.49
土耳其ISE-N100指数,2020/6/25,1141.39
土耳其ISE-N100指数,2020/6/26,1146.68
土耳其ISE-N100指数,2020/6/29,1158.43
土耳其ISE-N100指数,2020/6/30,1165.25
