Ёи╫╩й╠╪Д, Ёи╫╩╪ш, ╪ш╦Я╠Д╤╞, Ёи╫╩а©(йж), Ёи╫╩╤Н(т╙), птжй
15:00:16, 24.99, 0.26, 0, 0, бРел
15:00:06, 24.73, --, 18, 44514, бТел
14:59:56, 24.73, 0.03, 86, 212678, жпптел
14:59:52, 24.7, -0.05, 243, 600210, бТел
14:59:46, 24.75, 0.05, 16, 39600, бРел
14:59:42, 24.7, --, 5380, 13289686, бТел
14:59:26, 24.7, --, 177, 438795, бТел
14:59:12, 24.7, 0.1, 1110, 2742194, бРел
14:58:56, 24.6, --, 12, 29520, бТел
14:58:46, 24.6, --, 15, 36900, бТел
14:58:42, 24.6, --, 43, 105780, бТел
14:58:36, 24.6, --, 96, 236160, бТел
14:58:16, 24.6, 0.09, 13, 34071, жпптел
14:58:06, 24.51, 0.01, 2, 4902, жпптел
14:57:56, 24.5, --, 2, 4900, бТел
14:57:52, 24.5, 0.05, 117, 286650, бРел
14:57:46, 24.45, --, 31, 75795, бРел
14:57:42, 24.45, 0.11, 64, 156480, жпптел
14:57:26, 24.34, 0.01, 21, 51114, бТел
14:57:12, 24.33, --, 9, 23721, бТел
14:57:06, 24.33, -0.17, 27, 65691, бТел
14:57:02, 24.5, 0.17, 2, 4900, жпптел
14:56:46, 24.33, 0.08, 141, 345364, жпптел
14:56:32, 24.25, -0.08, 158, 383150, бТел
14:56:22, 24.33, 0.08, 113, 274929, бРел
14:56:12, 24.25, --, 302, 734411, бРел
14:55:52, 24.25, 0.02, 22, 53350, бРел
14:55:46, 24.23, --, 3, 7632, бТел
14:55:42, 24.23, 0.02, 94, 229821, жпптел
14:55:32, 24.21, -0.01, 141, 343660, бТел
14:55:11, 24.22, 0.01, 5005, 12122110, бТел
14:55:01, 24.21, -0.03, 44, 106524, бТел
14:54:55, 24.24, 0.02, 10, 24240, бРел
14:54:51, 24.22, --, 91, 221249, бРел
14:54:41, 24.22, --, 182, 440804, жпптел
14:54:31, 24.22, -0.03, 13, 31486, жпптел
14:54:25, 24.25, --, 11, 26675, бРел
14:54:21, 24.25, 0.03, 10, 24250, бРел
14:54:15, 24.22, 0.02, 15, 36330, жпптел
14:54:11, 24.2, --, 104, 251680, бТел
14:54:05, 24.2, --, 180, 435600, бТел
14:54:01, 24.2, -0.05, 159, 384780, бТел
14:53:55, 24.25, 0.04, 93, 225525, бРел
14:53:35, 24.21, 0.01, 137, 332403, жпптел
14:53:21, 24.2, --, 39, 94380, бТел
14:53:11, 24.2, -0.01, 200, 484000, бТел
14:53:05, 24.21, 0.01, 47, 113787, жпптел
14:52:55, 24.2, --, 57, 137940, бТел
14:52:51, 24.2, --, 19, 45980, бТел
14:52:41, 24.2, -0.01, 212, 513040, бТел
14:52:31, 24.21, --, 903, 2186163, бТел
14:52:15, 24.21, 0.01, 1, 2421, бТел
14:52:05, 24.2, --, 7, 16940, бТел
14:52:01, 24.2, -0.01, 205, 496100, бТел
14:51:55, 24.21, 0.01, 18, 44788, бРел
14:51:51, 24.2, -0.01, 128, 309760, бТел
14:51:45, 24.21, --, 131, 317151, бРел
14:51:21, 24.21, 0.01, 73, 178451, жпптел
14:51:15, 24.2, -0.01, 880, 2129600, бТел
14:51:11, 24.21, -0.04, 17, 41762, бТел
14:51:05, 24.25, 0.04, 198, 480150, бРел
14:51:01, 24.21, --, 54, 133033, бТел
14:50:51, 24.21, 0.01, 121, 292941, бРел
14:50:31, 24.2, -0.02, 66, 160325, бТел
14:50:21, 24.22, 0.09, 352, 852544, жпптел
14:50:05, 24.13, -0.07, 104, 250952, бТел
14:50:01, 24.2, -0.05, 70, 169400, бТел
14:49:55, 24.25, --, 13, 31525, бТел
14:49:51, 24.25, -0.05, 18, 43650, бТел
14:49:45, 24.3, 0.1, 347, 843210, бРел
14:49:35, 24.2, --, 156, 377520, бТел
14:49:25, 24.2, -0.19, 421, 1019231, бТел
14:49:11, 24.39, 0.18, 12, 29268, бРел
14:49:01, 24.21, 0.01, 30, 72630, бТел
14:48:55, 24.2, --, 28, 67760, бТел
14:48:45, 24.2, -0.2, 1, 3460, бТел
14:48:41, 24.4, 0.19, 46, 112240, бРел
14:48:35, 24.21, 0.01, 27, 65367, жпптел
14:48:31, 24.2, -0.34, 20, 48400, бТел
14:48:21, 24.54, -0.04, 1, 2454, жпптел
14:48:11, 24.58, --, 44, 109135, бРел
14:48:05, 24.58, --, 70, 172060, бТел
14:47:45, 24.58, -0.02, 7, 17206, жпптел
14:47:41, 24.6, 0.5, 58, 142680, бРел
14:47:31, 24.1, 0.05, 40, 96400, жпптел
14:47:21, 24.05, -0.05, 27, 66137, бТел
14:47:11, 24.1, -0.88, 6, 14460, жпптел
14:47:05, 24.98, 0.2, 700, 1748600, бРел
14:47:01, 24.78, 0.78, 342, 849706, жпптел
14:46:21, 24.0, 0.09, 29, 69600, бТел
14:46:15, 23.91, -0.88, 2240, 5357848, бТел
